spectrumfile,SN,host_z,z,m15,spec_type,Mv_peak,instrument,obsdate,phase,un_p,filter,SNR,exptime(s),exptime_total,shift,width,comments,m
2015F_LDSS3_20160310.txt,2015F,Y,0.00489,---,Ia,-18.2,LDSS3,3/10/2016,348,,g,5,3*1800,5400,-1743,6850,--,"ccd0069c1; (635, 2778)"
2015I_LDSS3_20160310.txt,2015I,Y,0.007589,---,Ia,-18.6,LDSS3,3/10/2016,301,,g,11,4*1800,7200,-1047,5969,--,"ccd0043c1; (635, 2777)"
2015aw_IMACS_20160310.txt,2015aw,Y,0.01962,---,Ia,-19.1,IMACS,3/10/2016,231,,V,21,3*1200,3600,-43,6611,--,"ift0117c8; (394,1973)"
2015bd_LDSS3_20160310.txt,2015bd,Y,0.018606,---,Ia,-19.4,LDSS3,3/10/2016,109,,g,21,2*1200,2400,-1150,9292,--,"ccd0081c1; (702, 2774)"
2015bd_LDSS3_20160605.txt,2015bd,Y,0.018606,---,Ia,-19.4,LDSS3,6/5/2016,196,,g,3,4*1800,7200,-1439,7800,--,"ccd2049c1; (699, 2133)"
ASASSN-15hx_IMACS_20160310.txt,ASASSN-15hx,Y,0.0081,1,Ia,---,IMACS,3/10/2016,306,,V,14,3*1800,5400,-1680,8929,--,"ift0068c8; (394, 1933)"
ASASSN-15jo_LDSS3_20160310.txt,ASASSN-15jo,N,0.011,1.8,Ia,-18.2,LDSS3,3/10/2016,289,,g,4,2*1800,3600,301,6962,--,"ccd0057c1;(696,2775)"
ASASSN-15kg_IMACS_20160310.txt,ASASSN-15kg,Y,0.014257,1.6,Ia,-18.7,IMACS,3/10/2016,271,,V,2,1800+1433+1118,4351,3062,1308,--,"ift0134c8; (480, 1959)"
ASASSN-15kp_IMACS_20160310.txt,ASASSN-15kp,Y,0.017402,1,Ia,-18.9,IMACS,3/10/2016,269,,V,12,4*1800,7200,-1230,6874,--,"ift0052c8; (558, 2016)"
ASASSN-15pl_LDSS3_20160310.txt,ASASSN-15pl,Y,0.016165,1.3,Ia,-19.2,LDSS3,3/10/2016,169,,g,18,1800+1500,3300,-727,6745,--,"ccd0034c1; (639,2783)"
ASASSN-15pz_IMACS_20160310.txt,ASASSN-15pz,Y,0.014903,0.7,Ia,-19.8,IMACS,3/10/2016,150,,V,12,2*900,1800,-2553,1633,--,--
ASASSN-15pz_LDSS3_20160605.txt,ASASSN-15pz,Y,0.014903,0.7,Ia,-19.8,LDSS3,6/5/2016,237,,r,6,2*1200,2400,2777,7202,--,22.9
